,dtype
Patient_ID,int64
Age,int64
Family_History,object
Race_African_Ancestry,object
PSA_Level,float64
DRE_Result,object
Biopsy_Result,object
Difficulty_Urinating,object
Weak_Urine_Flow,object
Blood_in_Urine,object
Pelvic_Pain,object
Back_Pain,object
Erectile_Dysfunction,object
Cancer_Stage,object
Treatment_Recommended,object
Survival_5_Years,object
Exercise_Regularly,object
Healthy_Diet,object
BMI,float64
Smoking_History,object
Alcohol_Consumption,object
Hypertension,object
Diabetes,object
Cholesterol_Level,object
Screening_Age,int64
Follow_Up_Required,object
Prostate_Volume,float64
Genetic_Risk_Factors,object
Previous_Cancer_History,object
Early_Detection,object
