,0
Patient_ID,0
Age,0
Family_History,0
Race_African_Ancestry,0
PSA_Level,0
DRE_Result,0
Biopsy_Result,0
Difficulty_Urinating,0
Weak_Urine_Flow,0
Blood_in_Urine,0
Pelvic_Pain,0
Back_Pain,0
Erectile_Dysfunction,0
Cancer_Stage,0
Treatment_Recommended,0
Survival_5_Years,0
Exercise_Regularly,0
Healthy_Diet,0
BMI,0
Smoking_History,0
Alcohol_Consumption,0
Hypertension,0
Diabetes,0
Cholesterol_Level,0
Screening_Age,0
Follow_Up_Required,0
Prostate_Volume,0
Genetic_Risk_Factors,0
Previous_Cancer_History,0
Early_Detection,0
